in,out
unit01_2015-09-01_dawn.wav,2015-09-01_08-00-58_unit01.wav
unit01_2015-09-09_dawn.wav,2015-09-09_08-09-59_unit01.wav
unit01_2015-09-29_dawn.wav,2015-09-29_08-31-38_unit01.wav
unit01_2015-10-02_dawn.wav,2015-10-02_08-34-49_unit01.wav
unit01_2015-10-18_dawn.wav,2015-10-18_08-52-44_unit01.wav
unit02_2015-08-27_dawn.wav,2015-08-27_07-55-10_unit02.wav
unit02_2015-08-30_dawn.wav,2015-08-30_07-58-57_unit02.wav
unit02_2015-08-31_dawn.wav,2015-08-31_07-59-58_unit02.wav
unit02_2015-09-15_dawn.wav,2015-09-15_08-16-59_unit02.wav
unit02_2015-09-16_dawn.wav,2015-09-16_08-17-57_unit02.wav
unit02_2015-09-26_dawn.wav,2015-09-26_08-28-00_unit02.wav
unit02_2015-11-02_dawn.wav,2015-11-02_09-09-58_unit02.wav
unit03_2015-08-04_dawn.wav,2015-08-04_03-40-48_unit03.wav
unit03_2015-09-04_dawn.wav,2015-09-04_08-04-59_unit03.wav
unit03_2015-09-29_dawn.wav,2015-09-29_08-32-57_unit03.wav
unit03_2015-10-02_dawn.wav,2015-10-02_08-35-59_unit03.wav
unit03_2015-11-07_dawn.wav,2015-11-07_09-16-17_unit03.wav
unit04_2015-08-03_dawn.wav,2015-08-03_07-27-59_unit04.wav
unit04_2015-08-14_dawn.wav,2015-08-14_17-59-47_unit04.wav
unit05_2015-08-30_dawn.wav,2015-08-30_07-58-58_unit05.wav
unit05_2015-09-03_dawn.wav,2015-09-03_08-03-58_unit05.wav
unit05_2015-09-05_dawn.wav,2015-09-05_08-05-57_unit05.wav
unit05_2015-09-08_dawn.wav,2015-09-08_08-09-00_unit05.wav
unit05_2015-10-08_dawn.wav,2015-10-08_08-41-58_unit05.wav
unit05_2015-10-14_dawn.wav,2015-10-14_08-48-57_unit05.wav
unit05_2015-10-19_dawn.wav,2015-10-19_08-53-57_unit05.wav
unit05_2015-11-20_dawn.wav,2015-11-20_09-31-57_unit05.wav
unit06_2015-10-30_dawn.wav,2015-10-30_09-06-00_unit06.wav
unit06_2015-11-09_dawn.wav,2015-11-09_09-17-59_unit06.wav
unit06_2015-11-14_dawn.wav,2015-11-14_09-24-00_unit06.wav
unit06_2015-11-25_dawn.wav,2015-11-25_09-35-59_unit06.wav
unit06_2015-11-26_dawn.wav,2015-11-26_09-37-00_unit06.wav
unit07_2015-08-18_dawn.wav,2015-08-18_07-44-59_unit07.wav
unit07_2015-08-19_dawn.wav,2015-08-19_07-45-58_unit07.wav
unit07_2015-09-20_dawn.wav,2015-09-20_08-21-58_unit07.wav
unit07_2015-10-02_dawn.wav,2015-10-02_08-34-58_unit07.wav
unit07_2015-10-09_dawn.wav,2015-10-09_08-42-14_unit07.wav
unit07_2015-10-22_dawn.wav,2015-10-22_08-56-56_unit07.wav
unit07_2015-10-24_dawn.wav,2015-10-24_08-59-57_unit07.wav
unit08_2015-08-12_dawn.wav,2015-08-12_07-37-51_unit08.wav
unit08_2015-08-14_dawn.wav,2015-08-14_07-40-58_unit08.wav
unit08_2015-08-16_dawn.wav,2015-08-16_07-42-59_unit08.wav
unit08_2015-09-19_dawn.wav,2015-09-19_08-20-57_unit08.wav
unit08_2015-10-20_dawn.wav,2015-10-20_08-54-55_unit08.wav
unit08_2015-11-02_dawn.wav,2015-11-02_09-10-56_unit08.wav
unit08_2015-11-15_dawn.wav,2015-11-15_09-25-57_unit08.wav
unit10_2015-09-27_dawn.wav,2015-09-27_08-28-56_unit10.wav
unit03_2015-09-08_dawn.wav,2015-09-08_08-09-59_unit03.wav
unit03_2015-09-09_dawn.wav,2015-09-09_08-11-05_unit03.wav
unit01_2015-10-01.wav,2015-10-01_08-33-30_unit01.wav
20151012225802_1:01:58_fold-unit-01-10_utc-22h_week-Oct7_cluster-0.wav,2015-10-13_00-00-00_unit01.wav
20150908000003_1:59:57_fold-unit-01-10_utc-06h_week-Sep7_cluster-2.wav,2015-09-08_02-00-00_unit01.wav
20151121221103_7:48:57_fold-unit02_utc-10h_week-Nov21_cluster-0.wav,2015-11-22_06-00-00_unit02.wav
20150827002103_5:38:57_fold-unit07_utc-10h_week-Aug21_cluster-3.wav,2015-08-27_06-00-00_unit07.wav
20150910235403_6:05:57_fold-unit07_utc-10h_week-Sep7_cluster-1.wav,2015-09-11_06-00-00_unit07.wav
20151118221302_5:46:58_fold-unit07_utc-08h_week-Nov14_cluster-4.wav,2015-11-19_04-00-00_unit07.wav
20151112221802_7:41:58_fold-unit05_utc-10h_week-Nov7_cluster-0.wav,2015-11-13_06-00-00_unit05.wav
20150821003102_3:28:58_fold-unit03_utc-08h_week-Aug14_cluster-9.wav,2015-08-21_04-00-00_unit03.wav
20151018225002_3:09:58_fold-unit03_utc-06h_week-Oct14_cluster-5.wav,2015-10-19_02-00-00_unit03.wav
20151009230302_6:56:58_fold-unit-01-10_utc-10h_week-Oct7_cluster-8.wav,2015-10-10_06-00-00_unit01.wav
20150917234202_0:17:58_fold-unit07_utc-22h_week-Sep14_cluster-4.wav,2015-09-18_00-00-00_unit07.wav
20151101223102_1:28:58_fold-unit03_utc-22h_week-Nov1_cluster-5.wav,2015-11-02_00-00-00_unit03.wav
20151102222902_5:30:58_fold-unit03_utc-08h_week-Nov1_cluster-5.wav,2015-11-03_04-00-00_unit03.wav
20151009230311_0:56:48_fold-unit02_utc-22h_week-Oct7_cluster-0.wav,2015-10-09_23-59-59_unit02.wav
20150911235303_2:06:57_fold-unit-01-10_utc-06h_week-Sep7_cluster-8.wav,2015-09-12_02-00-00_unit01.wav
20150925023412_1:25:48_fold-unit-01-10_utc-08h_week-Sep21_cluster-5.wav,2015-09-25_04-00-00_unit10.wav
20151108222202_1:37:58_fold-unit05_utc-22h_week-Nov7_cluster-4.wav,2015-11-09_00-00-00_unit05.wav
20151111221902_7:40:58_fold-unit02_utc-10h_week-Nov7_cluster-5.wav,2015-11-12_06-00-00_unit02.wav
20151114221604_5:43:56_fold-unit-04-06_utc-08h_week-Nov14_cluster-5.wav,2015-11-15_04-00-00_unit06.wav
20151031223102_3:28:58_fold-unit07_utc-06h_week-Nov1_cluster-4.wav,2015-11-01_02-00-00_unit07.wav
20150921233403_6:25:57_fold-unit07_utc-10h_week-Sep21_cluster-4.wav,2015-09-22_06-00-00_unit07.wav
20151023224203_3:17:57_fold-unit08_utc-06h_week-Oct21_cluster-7.wav,2015-10-24_02-00-00_unit08.wav
20150815004003_1:19:57_fold-unit-01-10_utc-06h_week-Aug14_cluster-8.wav,2015-08-15_02-00-00_unit01.wav
20150928232302_0:36:58_fold-unit03_utc-22h_week-Sep21_cluster-3.wav,2015-09-29_00-00-00_unit03.wav
20150920233602_6:23:58_fold-unit05_utc-10h_week-Sep14_cluster-5.wav,2015-09-21_06-00-00_unit05.wav
20151110221904_7:40:56_fold-unit-04-06_utc-10h_week-Nov7_cluster-0.wav,2015-11-11_06-00-00_unit06.wav
20151001231604_0:43:56_fold-unit-04-06_utc-22h_week-Oct1_cluster-5.wav,2015-10-02_00-00-00_unit06.wav
20151013225702_5:02:58_fold-unit-01-10_utc-08h_week-Oct7_cluster-8.wav,2015-10-14_04-00-00_unit01.wav
20151103222802_3:31:58_fold-unit05_utc-06h_week-Nov1_cluster-4.wav,2015-11-04_02-00-00_unit05.wav
20150924232902_6:30:58_fold-unit-01-10_utc-10h_week-Sep21_cluster-8.wav,2015-09-25_06-00-00_unit01.wav
20151009230303_6:56:57_fold-unit08_utc-10h_week-Oct7_cluster-7.wav,2015-10-10_06-00-00_unit08.wav
20150819003402_1:25:58_fold-unit05_utc-06h_week-Aug14_cluster-2.wav,2015-08-19_02-00-00_unit05.wav
20150919233802_2:21:58_fold-unit05_utc-06h_week-Sep14_cluster-0.wav,2015-09-20_02-00-00_unit05.wav
20150930231905_2:40:54_fold-unit08_utc-06h_week-Oct1_cluster-1.wav,2015-10-01_01-59-59_unit08.wav
20151014225503_1:04:56_fold-unit05_utc-22h_week-Oct7_cluster-5.wav,2015-10-14_23-59-59_unit05.wav
20151001231702_0:42:58_fold-unit-04-06_utc-22h_week-Oct1_cluster-0.wav,2015-10-02_00-00-00_unit04.wav
20150818003503_1:24:57_fold-unit02_utc-06h_week-Aug14_cluster-2.wav,2015-08-18_02-00-00_unit02.wav
20151029223304_5:26:55_fold-unit-04-06_utc-08h_week-Oct21_cluster-5.wav,2015-10-30_03-59-59_unit06.wav
20150919233802_6:21:58_fold-unit08_utc-10h_week-Sep14_cluster-1.wav,2015-09-20_06-00-00_unit08.wav
