,Unit,File name,Offset (s),Offset (hh:mm:ss),UTC start (hh:mm:ss),UTC time slot,Week (first day),Cluster ID (0-9)
0,unit01,20151011230005, 3594, 0:59:54,04:00:00,22h - 06h,Oct 7,8
1,unit01,20151011230005,10794, 2:59:54,06:00:00,06h - 08h,Oct 7,8
2,unit01,20151011230005,17994, 4:59:54,08:00:00,08h - 10h,Oct 7,8
3,unit01,20151011230005,25194, 6:59:54,10:00:00,10h - 12h,Oct 7,8
5,unit01,20150905000502, 6898, 1:54:58,06:00:00,06h - 08h,Sep 1,2
6,unit01,20150905000502,14098, 3:54:58,08:00:00,08h - 10h,Sep 1,2
7,unit01,20150905000502,21298, 5:54:58,10:00:00,10h - 12h,Sep 1,2
10,unit01,20151013225702, 3778, 1:02:58,04:00:00,22h - 06h,Oct 7,8
11,unit01,20151013225702,10978, 3:02:58,06:00:00,06h - 08h,Oct 7,8
12,unit01,20151013225702,18178, 5:02:58,08:00:00,08h - 10h,Oct 7,8
13,unit01,20151013225702,25378, 7:02:58,10:00:00,10h - 12h,Oct 7,8
15,unit01,20150922233303, 1617, 0:26:57,04:00:00,22h - 06h,Sep 21,8
16,unit01,20150922233303, 8817, 2:26:57,06:00:00,06h - 08h,Sep 21,8
17,unit01,20150922233303,16017, 4:26:57,08:00:00,08h - 10h,Sep 21,8
18,unit01,20150922233303,23217, 6:26:57,10:00:00,10h - 12h,Sep 21,8
20,unit01,20151012225802, 3718, 1:01:58,04:00:00,22h - 06h,Oct 7,0
21,unit01,20151012225802,10918, 3:01:58,06:00:00,06h - 08h,Oct 7,0
22,unit01,20151012225802,18118, 5:01:58,08:00:00,08h - 10h,Oct 7,8
23,unit01,20151012225802,25318, 7:01:58,10:00:00,10h - 12h,Oct 7,8
25,unit01,20150823002802, 5518, 1:31:58,06:00:00,06h - 08h,Aug 21,8
26,unit01,20150823002802,12718, 3:31:58,08:00:00,08h - 10h,Aug 21,8
27,unit01,20150823002802,19918, 5:31:58,10:00:00,10h - 12h,Aug 21,8
29,unit01,20150810194513,  886, 0:14:46,00:00:00,22h - 06h,Aug 7,8
30,unit01,20150810194513, 8086, 2:14:46,02:00:00,22h - 06h,Aug 7,8
31,unit01,20150810194513,15286, 4:14:46,04:00:00,22h - 06h,Aug 7,8
32,unit01,20150810194513,22486, 6:14:46,06:00:00,06h - 08h,Aug 7,8
33,unit01,20150924232902, 1858, 0:30:58,04:00:00,22h - 06h,Sep 21,8
34,unit01,20150924232902, 9058, 2:30:58,06:00:00,06h - 08h,Sep 21,8
35,unit01,20150924232902,16258, 4:30:58,08:00:00,08h - 10h,Sep 21,8
36,unit01,20150924232902,23458, 6:30:58,10:00:00,10h - 12h,Sep 21,8
38,unit01,20150927232402, 2158, 0:35:58,04:00:00,22h - 06h,Sep 21,8
39,unit01,20150927232402, 9358, 2:35:58,06:00:00,06h - 08h,Sep 21,8
40,unit01,20150927232402,16558, 4:35:58,08:00:00,08h - 10h,Sep 21,8
41,unit01,20150927232402,23758, 6:35:58,10:00:00,10h - 12h,Sep 21,8
43,unit01,20151004231202, 2878, 0:47:58,04:00:00,22h - 06h,Oct 1,8
44,unit01,20151004231202,10078, 2:47:58,06:00:00,06h - 08h,Oct 1,8
45,unit01,20151004231202,17278, 4:47:58,08:00:00,08h - 10h,Oct 1,8
46,unit01,20151004231202,24478, 6:47:58,10:00:00,10h - 12h,Oct 1,8
48,unit01,20150911235303,  417, 0:06:57,04:00:00,22h - 06h,Sep 7,8
49,unit01,20150911235303, 7617, 2:06:57,06:00:00,06h - 08h,Sep 7,8
50,unit01,20150911235303,14817, 4:06:57,08:00:00,08h - 10h,Sep 7,8
51,unit01,20150911235303,22017, 6:06:57,10:00:00,10h - 12h,Sep 7,8
53,unit01,20150817003702, 4978, 1:22:58,06:00:00,06h - 08h,Aug 14,8
54,unit01,20150817003702,12178, 3:22:58,08:00:00,08h - 10h,Aug 14,8
55,unit01,20150817003702,19378, 5:22:58,10:00:00,10h - 12h,Aug 14,8
57,unit01,20150904000702, 6778, 1:52:58,06:00:00,06h - 08h,Sep 1,8
58,unit01,20150904000702,13978, 3:52:58,08:00:00,08h - 10h,Sep 1,8
59,unit01,20150904000702,21178, 5:52:58,10:00:00,10h - 12h,Sep 1,8
61,unit01,20150818003603, 5037, 1:23:57,06:00:00,06h - 08h,Aug 14,2
62,unit01,20150818003603,12237, 3:23:57,08:00:00,08h - 10h,Aug 14,8
63,unit01,20150818003603,19437, 5:23:57,10:00:00,10h - 12h,Aug 14,8
65,unit01,20151003231303, 2817, 0:46:57,04:00:00,22h - 06h,Oct 1,8
66,unit01,20151003231303,10017, 2:46:57,06:00:00,06h - 08h,Oct 1,8
67,unit01,20151003231303,17217, 4:46:57,08:00:00,08h - 10h,Oct 1,8
68,unit01,20151003231303,24417, 6:46:57,10:00:00,10h - 12h,Oct 1,8
70,unit01,20150820003302, 5218, 1:26:58,06:00:00,06h - 08h,Aug 14,2
71,unit01,20150820003302,12418, 3:26:58,08:00:00,08h - 10h,Aug 14,2
72,unit01,20150820003302,19618, 5:26:58,10:00:00,10h - 12h,Aug 14,2
74,unit01,20150916234403,  956, 0:15:56,04:00:00,22h - 06h,Sep 14,8
75,unit01,20150916234403, 8156, 2:15:56,06:00:00,06h - 08h,Sep 14,8
76,unit01,20150916234403,15356, 4:15:56,08:00:00,08h - 10h,Sep 14,8
