excerpt,fold,utc,week,cluster
unit01/20151011230005_0:59:54,unit_01_10,22h,Oct7,8
unit01/20151011230005_2:59:54,unit_01_10,06h,Oct7,8
unit01/20151011230005_4:59:54,unit_01_10,08h,Oct7,8
unit01/20151011230005_6:59:54,unit_01_10,10h,Oct7,8
unit01/20150905000502_1:54:58,unit_01_10,06h,Sep1,2
unit01/20150905000502_3:54:58,unit_01_10,08h,Sep1,2
unit01/20150905000502_5:54:58,unit_01_10,10h,Sep1,2
unit01/20151013225702_1:02:58,unit_01_10,22h,Oct7,8
unit01/20151013225702_3:02:58,unit_01_10,06h,Oct7,8
unit01/20151013225702_5:02:58,unit_01_10,08h,Oct7,8
unit01/20151013225702_7:02:58,unit_01_10,10h,Oct7,8
unit01/20150922233303_0:26:57,unit_01_10,22h,Sep21,8
unit01/20150922233303_2:26:57,unit_01_10,06h,Sep21,8
unit01/20150922233303_4:26:57,unit_01_10,08h,Sep21,8
unit01/20150922233303_6:26:57,unit_01_10,10h,Sep21,8
unit01/20151012225802_1:01:58,unit_01_10,22h,Oct7,0
unit01/20151012225802_3:01:58,unit_01_10,06h,Oct7,0
unit01/20151012225802_5:01:58,unit_01_10,08h,Oct7,8
unit01/20151012225802_7:01:58,unit_01_10,10h,Oct7,8
unit01/20150823002802_1:31:58,unit_01_10,06h,Aug21,8
unit01/20150823002802_3:31:58,unit_01_10,08h,Aug21,8
unit01/20150823002802_5:31:58,unit_01_10,10h,Aug21,8
unit01/20150810194513_0:14:46,unit_01_10,22h,Aug7,8
unit01/20150810194513_2:14:46,unit_01_10,22h,Aug7,8
unit01/20150810194513_4:14:46,unit_01_10,22h,Aug7,8
unit01/20150810194513_6:14:46,unit_01_10,06h,Aug7,8
unit01/20150924232902_0:30:58,unit_01_10,22h,Sep21,8
unit01/20150924232902_2:30:58,unit_01_10,06h,Sep21,8
unit01/20150924232902_4:30:58,unit_01_10,08h,Sep21,8
unit01/20150924232902_6:30:58,unit_01_10,10h,Sep21,8
unit01/20150927232402_0:35:58,unit_01_10,22h,Sep21,8
unit01/20150927232402_2:35:58,unit_01_10,06h,Sep21,8
unit01/20150927232402_4:35:58,unit_01_10,08h,Sep21,8
unit01/20150927232402_6:35:58,unit_01_10,10h,Sep21,8
unit01/20151004231202_0:47:58,unit_01_10,22h,Oct1,8
unit01/20151004231202_2:47:58,unit_01_10,06h,Oct1,8
unit01/20151004231202_4:47:58,unit_01_10,08h,Oct1,8
unit01/20151004231202_6:47:58,unit_01_10,10h,Oct1,8
unit01/20150911235303_0:06:57,unit_01_10,22h,Sep7,8
unit01/20150911235303_2:06:57,unit_01_10,06h,Sep7,8
unit01/20150911235303_4:06:57,unit_01_10,08h,Sep7,8
unit01/20150911235303_6:06:57,unit_01_10,10h,Sep7,8
unit01/20150817003702_1:22:58,unit_01_10,06h,Aug14,8
unit01/20150817003702_3:22:58,unit_01_10,08h,Aug14,8
unit01/20150817003702_5:22:58,unit_01_10,10h,Aug14,8
unit01/20150904000702_1:52:58,unit_01_10,06h,Sep1,8
unit01/20150904000702_3:52:58,unit_01_10,08h,Sep1,8
unit01/20150904000702_5:52:58,unit_01_10,10h,Sep1,8
unit01/20150818003603_1:23:57,unit_01_10,06h,Aug14,2
unit01/20150818003603_3:23:57,unit_01_10,08h,Aug14,8
unit01/20150818003603_5:23:57,unit_01_10,10h,Aug14,8
unit01/20151003231303_0:46:57,unit_01_10,22h,Oct1,8
unit01/20151003231303_2:46:57,unit_01_10,06h,Oct1,8
unit01/20151003231303_4:46:57,unit_01_10,08h,Oct1,8
unit01/20151003231303_6:46:57,unit_01_10,10h,Oct1,8
unit01/20150820003302_1:26:58,unit_01_10,06h,Aug14,2
unit01/20150820003302_3:26:58,unit_01_10,08h,Aug14,2
unit01/20150820003302_5:26:58,unit_01_10,10h,Aug14,2
unit01/20150916234403_0:15:56,unit_01_10,22h,Sep14,8
unit01/20150916234403_2:15:56,unit_01_10,06h,Sep14,8
unit01/20150916234403_4:15:56,unit_01_10,08h,Sep14,8
unit01/20150916234403_6:15:56,unit_01_10,10h,Sep14,8
unit01/20150908000003_1:59:57,unit_01_10,06h,Sep7,2
unit01/20150908000003_3:59:57,unit_01_10,08h,Sep7,8
unit01/20150908000003_5:59:57,unit_01_10,10h,Sep7,8
unit01/20150831001402_1:45:58,unit_01_10,06h,Aug21,6
unit01/20150831001402_3:45:58,unit_01_10,08h,Aug21,8
unit01/20150831001402_5:45:58,unit_01_10,10h,Aug21,8
unit01/20150923233102_0:28:58,unit_01_10,22h,Sep21,8
unit01/20150923233102_2:28:58,unit_01_10,06h,Sep21,8
unit01/20150923233102_4:28:58,unit_01_10,08h,Sep21,8
unit01/20150923233102_6:28:58,unit_01_10,10h,Sep21,8
unit01/20150910235402_0:05:58,unit_01_10,22h,Sep7,8
unit01/20150910235402_2:05:58,unit_01_10,06h,Sep7,8
unit01/20150910235402_4:05:58,unit_01_10,08h,Sep7,8
unit01/20150910235402_6:05:58,unit_01_10,10h,Sep7,8
unit01/20150830001603_1:43:57,unit_01_10,06h,Aug21,8
unit01/20150830001603_3:43:57,unit_01_10,08h,Aug21,8
unit01/20150830001603_5:43:57,unit_01_10,10h,Aug21,8
unit01/20150824002602_1:33:58,unit_01_10,06h,Aug21,8
unit01/20150824002602_3:33:58,unit_01_10,08h,Aug21,8
unit01/20150824002602_5:33:58,unit_01_10,10h,Aug21,8
unit01/20150919233802_0:21:58,unit_01_10,22h,Sep14,8
unit01/20150919233802_2:21:58,unit_01_10,06h,Sep14,8
unit01/20150919233802_4:21:58,unit_01_10,08h,Sep14,8
unit01/20150919233802_6:21:58,unit_01_10,10h,Sep14,8
unit01/20150829001702_1:42:58,unit_01_10,06h,Aug21,8
