,Unit,File name,File timestamp,Start timestamp,Stop timestamp,Start hop,Stop hop,MFCC #00,MFCC #01,MFCC #02,MFCC #03,MFCC #04,MFCC #05,MFCC #06,MFCC #07,MFCC #08,MFCC #09,MFCC #10,MFCC #11,MFCC #12,ΔMFCC #00,ΔMFCC #01,ΔMFCC #02,ΔMFCC #03,ΔMFCC #04,ΔMFCC #05,ΔMFCC #06,ΔMFCC #07,ΔMFCC #08,ΔMFCC #09,ΔMFCC #10,ΔMFCC #11,ΔMFCC #12
0,unit01,20151011230005,1444618805,1444622399,1444629599,0449250,1349250, -2.009731054, 16.298761368, -7.447581768, 17.658275604,  3.355757236,  9.379590988, 13.786296844, 15.332458496, -7.021525383,  6.220009327,  5.707552910, -2.058156967,  1.838823080, -1.536889076, -0.441470265,  1.431842685, -0.676947892,  0.670295358, -0.885620534,  0.551578462, -0.983271003, -0.248463079, -0.190825611,  0.337671399, -0.007053841,  1.085627913
1,unit01,20151011230005,1444618805,1444629599,1444636799,1349250,2249250, -2.071937561, 17.004871368, -4.170610428, 18.339988708,  4.078038216,  9.026652336, 12.272467613, 14.234125137, -5.431357861,  5.211312294,  5.377150059, -0.948458135,  1.680030823, -2.361865520, -0.106478631,  0.989763081, -0.915334880,  0.945358276, -0.640533268,  0.352395445, -0.746229589,  0.356773555, -0.090474747,  0.412952721, -0.848113477,  0.287038356
2,unit01,20151011230005,1444618805,1444636799,1444643999,2249250,3149250, -2.189347029, 20.559700012,  0.908325374, 19.090698242,  6.423669338,  9.066100121,  9.401230812, 10.572763443, -1.845470428,  4.930281162,  4.375491142,  1.355008245,  2.445390940, -1.916670561, -0.590107501,  0.824494421, -1.502974391,  0.619910479, -0.028896753,  0.388411164, -1.231533527, -0.155643448, -0.146023735,  0.253611207, -0.307812542,  0.148782417
3,unit01,20151011230005,1444618805,1444643999,1444651199,3149250,4049250, -2.147313118, 16.858247757,  2.722958088, 16.589900970,  8.897702217,  9.405193329,  8.256615639,  8.168248177,  1.835920691,  4.281457424,  3.683655739,  2.338760853,  1.592958093, -2.257057667,  0.194830596,  0.716388702, -0.667521119,  0.620343864, -0.087916553,  0.287525713, -0.842710733,  0.074665062, -0.310132116,  0.667646468,  0.162055179,  1.044212461
4,unit01,20151011230005,1444618805,1444651199,1444658399,4049250,4949250, -2.101144314, 12.973473549,  3.467349052, 15.542977333,  9.337602615, 10.856187820,  8.076538086,  7.486635685,  2.374633789,  3.935783386,  2.932819366,  2.709410191,  1.580886126, -2.191725254, -0.459759623,  0.634101868, -0.539720297,  0.464334637, -1.012873650, -0.154427409, -0.891439617, -0.028293733, -0.697419465,  0.031600401, -0.087771080,  0.280805975
5,unit01,20150905000502,1441425902,1441432800,1441440000,0862250,1762250, -1.715081215,-19.491029739,  8.467062950, 30.851888657, -0.597598195,  1.799815178, 27.523998260, -0.710314870, -5.216085434, 16.616106033, -6.514862061,  3.874125242,  6.511580944, -1.882085204,  0.261675000,  0.763031006, -0.800911248, -0.126424342, -0.060115978, -0.055370916,  0.223022610, -0.125579655,  0.195649967, -0.043780573,  0.051559970,  0.114046864
6,unit01,20150905000502,1441425902,1441440000,1441447200,1762250,2662250, -1.726544499,-19.411300659,  6.810116291, 30.275266647,  2.561657190, -0.144979149, 25.635221481,  1.499653935, -8.271203041, 17.854625702, -5.258878708,  1.295248151,  7.143068314, -2.670367002, -0.383566618,  0.324808896, -0.311520815,  0.015208563,  0.217669621,  0.189977437, -0.131931752, -0.698121309,  0.371026546, -0.135311604, -0.268472165,  0.303561032
7,unit01,20150905000502,1441425902,1441447200,1441454400,2662250,3562250, -1.726090908,-18.964864731,  5.176932812, 26.556959152,  4.711336136, -0.488034308, 25.109764099,  3.411079407, -9.716699600, 18.329599380, -4.435728550,  0.285832644,  7.446708679, -2.735209942, -0.078691170,  0.296637267, -0.417927504,  0.407737166,  0.250582904,  0.211645290, -0.329482526, -0.319934219,  0.428045303, -0.468750983, -0.238204598,  0.198017940
8,unit01,20150905000502,1441425902,1441454400,1441461600,3562250,4462250, -1.830176711,-15.141821861,  8.878146172, 24.462419510,  6.978090763,  0.280783236, 20.648912430,  5.446880341,-10.113298416, 17.648265839, -4.527669430, -0.265088946,  7.919803143, -2.352306366,  0.230953172,  0.062054422, -0.714574397,  0.769955873,  0.498652160, -0.322460204, -0.610782206,  0.047501307,  0.373376608,  0.187500715,  0.137389913,  0.041814838
9,unit01,20150905000502,1441425902,1441461600,1441468800,4462250,5362250, -1.917853117, -8.791961670, 14.039709091, 13.750144958,  9.570548058,  8.193282127, 12.884407997,  5.583487988, -3.914521217, 13.767762184, -6.301149845,  4.493399620,  6.396074295, -2.980550289,  2.452944756,  0.956370592, -0.695408463, -1.582611442,  0.179456577, -2.190356970, -1.643186808,  3.473559141, -0.065704703,  0.274486363, -0.713910997,  0.134882405
